column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_ratio_%
charging_power_kW,11.0,22.0,11.0,-5.5,38.5,2087,24.982044529566675
final_soc,98.46366587,100.0,1.5363341300000002,96.159164675,102.304501195,989,11.838640172372516
charging_duration,64.1180080225,247.946168875,183.8281608525,-211.62423325624997,523.68841015375,298,3.567153459420637
calc_charging_duration,64.0,247.75,183.75,-211.625,523.375,298,3.567153459420637
calc_waiting_time,6.0,13.0,7.0,-4.5,23.5,18,0.21546564519990424
waiting_time,6.0,13.0,7.0,-4.5,23.5,18,0.21546564519990424
queue_length,3.0,7.0,4.0,-3.0,13.0,9,0.10773282259995212
optimization_reward,-18.354606405000002,-5.10691220525,13.247694199750002,-38.226147704625006,14.764629094375005,7,0.08379219535551831
battery_capacity_kWh,40.0,75.0,35.0,-12.5,127.5,0,0.0
initial_soc,22.371986455,47.310646845,24.938660390000003,-15.03600413000001,84.71863743,0,0.0
energy_consumed_kWh,23.675250695,51.3634474525,27.6881967575,-17.85704444125,92.89574258875,0,0.0
renewable_energy_ratio,0.20731535325,0.46231491775,0.2549995645,-0.17518399349999997,0.8448142645,0,0.0
electricity_price,7.51,12.3975,4.887500000000001,0.1787499999999982,19.72875,0,0.0
station_load,28.0297104475,77.6004451875,49.57073474,-46.326391662499994,151.95654729749998,0,0.0
charging_demand,27.91160343,77.845036465,49.93343303500001,-46.98854612250001,152.74518601750003,0,0.0
month,1.0,3.0,2.0,-2.0,6.0,0,0.0
hour,5.0,17.0,12.0,-13.0,35.0,0,0.0
is_weekend,0.0,1.0,1.0,-1.5,2.5,0,0.0
calc_energy_from_soc,23.675250693,51.36344745562501,27.688196762625008,-17.85704445093751,92.89574259956251,0,0.0
